dataset,CC(rf),CC(bcts(rf)),ACC(rf),ACC(bcts(rf)),PCC(rf),PCC(bcts(rf)),PACC(rf),PACC(bcts(rf)),EMQ(rf),EMQ(bcts(rf)),FM(rf),FM(bcts(rf)),DyS(rf),DyS(bcts(rf)),MS(rf),MS(bcts(rf)),HDy(rf),HDy(bcts(rf)),KDEyML(rf),KDEyML(bcts(rf)),MLQ(rf),MLQ(bcts(rf)),"QuantCal(rf,3)","QuantCal(bcts(rf),3)","QuantCal(rf,5)","QuantCal(bcts(rf),5)","QuantCal(rf,10)","QuantCal(bcts(rf),10)","QuantCal(lr,3)","QuantCal(bcts(lr),3)","QuantCal(lr,5)","QuantCal(bcts(lr),5)","QuantCal(lr,10)","QuantCal(bcts(lr),10)","QuantCal(knn,3)","QuantCal(bcts(knn),3)","QuantCal(knn,5)","QuantCal(bcts(knn),5)","QuantCal(knn,10)","QuantCal(bcts(knn),10)"
1460_banana,0.06,0.06,0.0254444290536461,0.0250969941620762,0.0781999999999999,0.08377212495740399,0.0215827521523232,0.02172707765057095,0.0202739193109905,0.01845166786665345,0.0260048378388534,0.0262451935751727,0.0188456558425789,0.0184058571464238,0.02128700062581725,0.02092039237245885,0.02,0.02,0.05652458538832725,0.0550554657299992,0.0250000000010305,0.025047137594989798,4.85722573273506e-16,4.718447854656915e-16,1.4710455076283324e-15,1.4710455076283324e-15,2.1926904736346838e-15,2.1371793224034263e-15,0.0260833187725755,0.0258840121314113,0.0256903506050199,0.0253908860082838,0.0255107151330051,0.0253615823626045,0.0,0.0,0.0,0.0,0.0,0.0
1462_banknote-authentication,0.0,0.0,0.0049597478154873,0.0051129357004165,0.0146000000000001,0.0072445464821685,0.0055243229222925495,0.00482598871318715,0.00506628492297495,0.00264072797222935,0.0045190039729002,0.0045959622891639,0.0034279152384798,0.0034751918936283,0.004033107047754151,0.0041016511217544,0.0099999999999999,2.775557561562892e-17,0.00013389005877765,3.211333662769822e-05,0.0077747903665452,0.0052869724720611,3.6082248300317592e-16,3.6082248300317592e-16,1.214306433183765e-15,1.3253287356462806e-15,1.7208456881689926e-15,1.7208456881689926e-15,0.0041932311448738,0.0049648997863432,0.0041658966044403,0.0034661200625144,0.0040681173131334,0.0040931904503642,0.0,0.0,0.0,0.0,0.0,0.0
1466_cardiotocography,0.0,0.0,0.0,0.0,0.0136000000000001,0.00261129333049385,0.0033047949750749503,0.00133165162223635,0.00661379346450925,0.0009358882907182,2.0349345486447845e-08,2.0349345486447845e-08,0.0018867202734507,0.0011984355606616,1.3877787807814457e-17,0.0,0.01,2.775557561562892e-17,1.3849193026549411e-05,1.3848846521766212e-05,6.930289675466383e-13,7.16315895488151e-13,3.6082248300317592e-16,3.6082248300317592e-16,1.214306433183765e-15,1.214306433183765e-15,1.7347234759768069e-15,1.6930901125533637e-15,7.771561172376097e-16,7.771561172376097e-16,2.6367796834847468e-15,2.6367796834847468e-15,1.609823385706477e-15,1.609823385706477e-15,0.0,0.0,0.0,0.0,0.0,0.0
1475_first-order-theorem-proving,0.09,0.0899999999999999,0.0346154461095702,0.034539707080407545,0.131659696969697,0.13069596182109666,0.0301018313833085,0.0302567877722269,0.02633358877284955,0.0261884007062363,0.0335739935192436,0.0336191581163212,0.026216745120594298,0.026310230851155553,0.0288981720811507,0.0291335399142229,0.03,0.03,0.0719081208331309,0.0717556482347986,0.038727197211286396,0.0390579059070653,6.938893903907228e-16,6.938893903907228e-16,1.5959455978986625e-15,1.5959455978986625e-15,2.248201624865942e-15,2.248201624865942e-15,0.0351221037554201,0.0363847130747966,0.0352530541012203,0.03572880446854915,0.035656262260713154,0.0352241174137511,0.0,0.0,0.0,0.0,0.0,0.0
1479_hill-valley,0.24,0.24,0.2014285714285718,0.3,0.26870000000000016,0.2937749362217123,0.1999999999999999,0.2943329604460746,0.19162599081972664,0.1712748575395699,0.1999999999999999,0.3,0.2097468020023649,0.2999554476059524,0.2040000000000011,0.4,0.24,0.29,0.233803002794007,0.33884398825481643,0.2333384874182536,0.2393425224475873,0.2000000000000004,0.3107070131779408,0.1999999999999999,0.3,0.2,0.3,0.2374255952379433,0.3,0.2228037383178371,0.3053157894736222,0.1999999999999999,0.3,0.2,0.3,0.2,0.3,0.2,0.3
1485_madelon,0.17,0.17,0.093425605536332,0.0991715377697841,0.2641,0.23361555789732186,0.07739393512697385,0.08262459651004125,0.0993765308238293,0.0700803788231601,0.0933432714671105,0.09917153795919034,0.0654947617323459,0.06573075019456709,0.0808888888888889,0.08115069356872626,0.0699999999999999,0.0699999999999999,0.15162319633314214,0.16495265399762826,0.0999978306754209,0.099995772448668,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0989425191079525,0.0999999999999999,0.0938274374460599,0.0999999999999999,0.0944512946978667,0.0999999999999981,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999
1489_phoneme,0.0699999999999999,0.0699999999999999,0.0270402745622241,0.0268922807912279,0.1095,0.09604003475755504,0.023506801091365298,0.02377469469754495,0.02044187105139305,0.0184503077156238,0.0245613568186904,0.0241755870078269,0.0189761826444471,0.01936676077510035,0.021981237682571902,0.0224582720566875,0.0399999999999999,0.0399999999999999,0.0562375131593894,0.0587716798800138,0.0314061252014984,0.0318180275283529,4.85722573273506e-16,4.85722573273506e-16,1.4710455076283324e-15,1.4988010832439613e-15,2.1371793224034263e-15,2.1371793224034263e-15,0.0290897986030599,0.0291762463697991,0.0278702385190411,0.0277628032345001,0.0281197010613412,0.0284978148848783,0.0,0.0,0.0,0.0,0.0,0.0
1494_qsar-biodeg,0.0899999999999999,0.09,0.0379826240612576,0.0401074891105804,0.1286999999999999,0.11817431476144735,0.0313785614376481,0.0323949464685481,0.029918506367040153,0.0262634892304444,0.0370028113971756,0.03552882951773095,0.0263824384416013,0.02694319855303755,0.030217084665695747,0.0316080510300836,0.04,0.04,0.07893108467751515,0.0814917289972992,0.0428785683110763,0.0461538909701878,1.0685896612017132e-15,1.1171619185290638e-15,1.5959455978986625e-15,1.5959455978986625e-15,4.211908599671688e-15,4.211908599671688e-15,0.0443592794196508,0.0381467418402158,0.0398916356247931,0.044124679004674,0.040374259558424,0.0410887971450791,0.0,0.0,0.0,0.0,0.0,0.0
1496_ringnorm,0.03,0.02,0.0148962189180016,0.0130956123411325,0.07969999999999985,0.040936034373865504,0.01347932055054495,0.011918704150117351,0.02509178234958695,0.009974425414419251,0.0148962208983662,0.0131705064427751,0.0100455513886765,0.010077116236358749,0.01194941272819075,0.01147354940094315,0.02,0.01,0.023966230853085302,0.02857243006257515,0.0141318369737019,0.0136354966316633,3.6082248300317592e-16,3.6082248300317592e-16,1.3253287356462806e-15,1.3253287356462806e-15,1.7347234759768069e-15,1.7347234759768069e-15,0.014224645313177,0.0128129595209212,0.0133412783039542,0.0124740124740143,0.0128304727188391,0.0120593879406061,0.0,0.0,0.0,0.0,0.0,0.0
1497_wall-robot-navigation,0.0,0.0,0.0047243565850914,0.0042714174331889,0.0224000000000001,0.0072734599082259,0.0055853438007531005,0.00400495074484105,0.008237258929161499,0.00262939763272875,0.0041120790270677,0.0040697204044744,0.0026929747694826,0.0028137802780887,0.0038384739588674,0.0034875922199866,0.01,1.3877787807814457e-17,9.202675146977035e-05,3.210794084815283e-05,0.0060065424525315,0.0058216361465692,3.469446951953614e-16,3.6082248300317592e-16,1.214306433183765e-15,1.214306433183765e-15,1.7208456881689926e-15,1.6930901125533637e-15,0.0046080013590403,0.0038518718745763,0.0046080013590435,0.0038813714518206,0.0046080013590548,0.0038813714518106,0.0,0.0,0.0,0.0,0.0,0.0
